"id"	"sp"	"sex"	"FL"	"RW"	"CL"	"CW"	"BD"
41	"B"	"M"	17.7	13.6	38.7	44.5	16
42	"B"	"M"	17.9	14.1	39.7	44.6	16.8
43	"B"	"M"	18	13.7	39.2	44.4	16.2
44	"B"	"M"	18.8	15.8	42.1	49	17.8
45	"B"	"M"	19.3	13.5	41.6	47.4	17.8
46	"B"	"M"	19.3	13.8	40.9	46.5	16.8
47	"B"	"M"	19.7	15.3	41.9	48.5	17.8
48	"B"	"M"	19.8	14.2	43.2	49.7	18.6
49	"B"	"M"	19.8	14.3	42.4	48.9	18.3
50	"B"	"M"	21.3	15.7	47.1	54.6	20
51	"B"	"F"	7.2	6.5	14.7	17.1	6.1
52	"B"	"F"	9	8.5	19.3	22.7	7.7
53	"B"	"F"	9.1	8.1	18.5	21.6	7.7
54	"B"	"F"	9.1	8.2	19.2	22.2	7.7
55	"B"	"F"	9.5	8.2	19.6	22.4	7.8
56	"B"	"F"	9.8	8.9	20.4	23.9	8.8
57	"B"	"F"	10.1	9.3	20.9	24.4	8.4
58	"B"	"F"	10.3	9.5	21.3	24.7	8.9
59	"B"	"F"	10.4	9.7	21.7	25.4	8.3
60	"B"	"F"	10.8	9.5	22.5	26.3	9.1
61	"B"	"F"	11	9.8	22.5	25.7	8.2
62	"B"	"F"	11.2	10	22.8	26.9	9.4
63	"B"	"F"	11.5	11	24.7	29.2	10.1
64	"B"	"F"	11.6	11	24.6	28.5	10.4
65	"B"	"F"	11.6	11.4	23.7	27.7	10
66	"B"	"F"	11.7	10.6	24.9	28.5	10.4
67	"B"	"F"	11.9	11.4	26	30.1	10.9
68	"B"	"F"	12	10.7	24.6	28.9	10.5
69	"B"	"F"	12	11.1	25.4	29.2	11
70	"B"	"F"	12.6	12.2	26.1	31.6	11.2
71	"B"	"F"	12.8	11.7	27.1	31.2	11.9
72	"B"	"F"	12.8	12.2	26.7	31.1	11.1
73	"B"	"F"	12.8	12.2	27.9	31.9	11.5
74	"B"	"F"	13	11.4	27.3	31.8	11.3
75	"B"	"F"	13.1	11.5	27.6	32.6	11.1
76	"B"	"F"	13.2	12.2	27.9	32.1	11.5
77	"B"	"F"	13.4	11.8	28.4	32.7	11.7
78	"B"	"F"	13.7	12.5	28.6	33.8	11.9
79	"B"	"F"	13.9	13	30	34.9	13.1
80	"B"	"F"	14.7	12.5	30.1	34.7	12.5
81	"B"	"F"	14.9	13.2	30.1	35.6	12
82	"B"	"F"	15	13.8	31.7	36.9	14
83	"B"	"F"	15	14.2	32.8	37.4	14
84	"B"	"F"	15.1	13.3	31.8	36.3	13.5
85	"B"	"F"	15.1	13.5	31.9	37	13.8
86	"B"	"F"	15.1	13.8	31.7	36.6	13
87	"B"	"F"	15.2	14.3	33.9	38.5	14.7
88	"B"	"F"	15.3	14.2	32.6	38.3	13.8
89	"B"	"F"	15.4	13.3	32.4	37.6	13.8
90	"B"	"F"	15.5	13.8	33.4	38.7	14.7
91	"B"	"F"	15.6	13.9	32.8	37.9	13.4
92	"B"	"F"	15.6	14.7	33.9	39.5	14.3
93	"B"	"F"	15.7	13.9	33.6	38.5	14.1
94	"B"	"F"	15.8	15	34.5	40.3	15.3
95	"B"	"F"	16.2	15.2	34.5	40.1	13.9
96	"B"	"F"	16.4	14	34.2	39.8	15.2
97	"B"	"F"	16.7	16.1	36.6	41.9	15.4
98	"B"	"F"	17.4	16.9	38.2	44.1	16.6
99	"B"	"F"	17.5	16.7	38.6	44.5	17
100	"B"	"F"	19.2	16.5	40.9	47.9	18.1
101	"O"	"M"	9.1	6.9	16.7	18.6	7.4
102	"O"	"M"	10.2	8.2	20.2	22.2	9
103	"O"	"M"	10.7	8.6	20.7	22.7	9.2
104	"O"	"M"	11.4	9	22.7	24.8	10.1
105	"O"	"M"	12.5	9.4	23.2	26	10.8
106	"O"	"M"	12.5	9.4	24.2	27	11.2
107	"O"	"M"	12.7	10.4	26	28.8	12.1
108	"O"	"M"	13.2	11	27.1	30.4	12.2
109	"O"	"M"	13.4	10.1	26.6	29.6	12
110	"O"	"M"	13.7	11	27.5	30.5	12.2
111	"O"	"M"	14	11.5	29.2	32.2	13.1
112	"O"	"M"	14.1	10.4	28.9	31.8	13.5
113	"O"	"M"	14.1	10.5	29.1	31.6	13.1
114	"O"	"M"	14.1	10.7	28.7	31.9	13.3
115	"O"	"M"	14.2	10.6	28.7	31.7	12.9
116	"O"	"M"	14.2	10.7	27.8	30.9	12.7
117	"O"	"M"	14.2	11.3	29.2	32.2	13.5
118	"O"	"M"	14.6	11.3	29.9	33.5	12.8
119	"O"	"M"	14.7	11.1	29	32.1	13.1
120	"O"	"M"	15.1	11.4	30.2	33.3	14
121	"O"	"M"	15.1	11.5	30.9	34	13.9
122	"O"	"M"	15.4	11.1	30.2	33.6	13.5
123	"O"	"M"	15.7	12.2	31.7	34.2	14.2
124	"O"	"M"	16.2	11.8	32.3	35.3	14.7
125	"O"	"M"	16.3	11.6	31.6	34.2	14.5
126	"O"	"M"	17.1	12.6	35	38.9	15.7
127	"O"	"M"	17.4	12.8	36.1	39.5	16.2
128	"O"	"M"	17.5	12	34.4	37.3	15.3
129	"O"	"M"	17.5	12.7	34.6	38.4	16.1
130	"O"	"M"	17.8	12.5	36	39.8	16.7
131	"O"	"M"	17.9	12.9	36.9	40.9	16.5
132	"O"	"M"	18	13.4	36.7	41.3	17.1
133	"O"	"M"	18.2	13.7	38.8	42.7	17.2
134	"O"	"M"	18.4	13.4	37.9	42.2	17.7
135	"O"	"M"	18.6	13.4	37.8	41.9	17.3
136	"O"	"M"	18.6	13.5	36.9	40.2	17
137	"O"	"M"	18.8	13.4	37.2	41.1	17.5
138	"O"	"M"	18.8	13.8	39.2	43.3	17.9
139	"O"	"M"	19.4	14.1	39.1	43.2	17.8
140	"O"	"M"	19.4	14.4	39.8	44.3	17.9
141	"O"	"M"	20.1	13.7	40.6	44.5	18
142	"O"	"M"	20.6	14.4	42.8	46.5	19.6
143	"O"	"M"	21	15	42.9	47.2	19.4
144	"O"	"M"	21.5	15.5	45.5	49.7	20.9
145	"O"	"M"	21.6	15.4	45.7	49.7	20.6
146	"O"	"M"	21.6	14.8	43.4	48.2	20.1
147	"O"	"M"	21.9	15.7	45.4	51	21.1
148	"O"	"M"	22.1	15.8	44.6	49.6	20.5
149	"O"	"M"	23	16.8	47.2	52.1	21.5
150	"O"	"M"	23.1	15.7	47.6	52.8	21.6
151	"O"	"F"	10.7	9.7	21.4	24	9.8
152	"O"	"F"	11.4	9.2	21.7	24.1	9.7
153	"O"	"F"	12.5	10	24.1	27	10.9
154	"O"	"F"	12.6	11.5	25	28.1	11.5
155	"O"	"F"	12.9	11.2	25.8	29.1	11.9
156	"O"	"F"	14	11.9	27	31.4	12.6
157	"O"	"F"	14	12.8	28.8	32.4	12.7
158	"O"	"F"	14.3	12.2	28.1	31.8	12.5
159	"O"	"F"	14.7	13.2	29.6	33.4	12.9
160	"O"	"F"	14.9	13	30	33.7	13.3
161	"O"	"F"	15	12.3	30.1	33.3	14
162	"O"	"F"	15.6	13.5	31.2	35.1	14.1
163	"O"	"F"	15.6	14	31.6	35.3	13.8
164	"O"	"F"	15.6	14.1	31	34.5	13.8
165	"O"	"F"	15.7	13.6	31	34.8	13.8
166	"O"	"F"	16.1	13.6	31.6	36	14
167	"O"	"F"	16.1	13.7	31.4	36.1	13.9
168	"O"	"F"	16.2	14	31.6	35.6	13.7
169	"O"	"F"	16.7	14.3	32.3	37	14.7
170	"O"	"F"	17.1	14.5	33.1	37.2	14.6
171	"O"	"F"	17.5	14.3	34.5	39.6	15.6
172	"O"	"F"	17.5	14.4	34.5	39	16
173	"O"	"F"	17.5	14.7	33.3	37.6	14.6
174	"O"	"F"	17.6	14	34	38.6	15.5
175	"O"	"F"	18	14.9	34.7	39.5	15.7
176	"O"	"F"	18	16.3	37.9	43	17.2
177	"O"	"F"	18.3	15.7	35.1	40.5	16.1
178	"O"	"F"	18.4	15.5	35.6	40	15.9
179	"O"	"F"	18.4	15.7	36.5	41.6	16.4
180	"O"	"F"	18.5	14.6	37	42	16.6
181	"O"	"F"	18.6	14.5	34.7	39.4	15
182	"O"	"F"	18.8	15.2	35.8	40.5	16.6
183	"O"	"F"	18.9	16.7	36.3	41.7	15.3
184	"O"	"F"	19.1	16	37.8	42.3	16.8
185	"O"	"F"	19.1	16.3	37.9	42.6	17.2
186	"O"	"F"	19.7	16.7	39.9	43.6	18.2
187	"O"	"F"	19.9	16.6	39.4	43.9	17.9
188	"O"	"F"	19.9	17.9	40.1	46.4	17.9
189	"O"	"F"	20	16.7	40.4	45.1	17.7
190	"O"	"F"	20.1	17.2	39.8	44.1	18.6
191	"O"	"F"	20.3	16	39.4	44.1	18
192	"O"	"F"	20.5	17.5	40	45.5	19.2
193	"O"	"F"	20.6	17.5	41.5	46.2	19.2
194	"O"	"F"	20.9	16.5	39.9	44.7	17.5
195	"O"	"F"	21.3	18.4	43.8	48.4	20
196	"O"	"F"	21.4	18	41.2	46.2	18.7
197	"O"	"F"	21.7	17.1	41.7	47.2	19.6
198	"O"	"F"	21.9	17.2	42.6	47.4	19.5
199	"O"	"F"	22.5	17.2	43	48.7	19.8
200	"O"	"F"	23.1	20.2	46.2	52.5	21.1
201	"O"	"F"	15.6008489520196	13.4993680215348	31.1951468315814	35.1118351594731	14.1121177750919
202	"O"	"M"	14.1951245865785	10.5908501001634	28.6981003687065	31.6855330605339	12.9047209565807
203	"O"	"F"	11.4134378380701	9.19858623739332	21.6843107220996	24.1135713064019	9.69465112516657
204	"O"	"M"	17.889100031415	12.8998540635686	36.9151960037462	40.8872139864694	16.5071727281995
205	"O"	"M"	17.488551425701	12.0053375541791	34.4045800213795	37.2807017669268	15.2871857376769
206	"O"	"M"	17.496100880187	11.9908909151144	34.4153278403636	37.3151596490853	15.2997204008978
207	"O"	"F"	19.1013520513102	15.9986803073343	37.8082762516104	42.2963251190539	16.8086424075812
208	"O"	"F"	17.9938089644536	16.3094729303941	37.8900817838684	43.0101141994912	17.2117304443754
209	"O"	"M"	12.4830866128393	9.38326042913832	23.1972585468367	26.0086360058282	10.8037879244611
210	"O"	"M"	15.3861867221352	11.1103310379758	30.1802124466095	33.6166132042278	13.4857479223516
211	"O"	"M"	16.3006380182691	11.6046875530947	31.6081214353535	34.2071345280018	14.5155320487265
212	"O"	"F"	19.9965731600299	16.6979450745508	40.4002436840627	45.1046242966037	17.6951249605603
213	"O"	"F"	21.299647374358	18.4106300516799	43.7964721378591	48.3827231253684	19.9983340467326
214	"O"	"M"	14.6179031263385	11.2911168978177	29.8914884711429	33.5052498471457	12.7861789597478
215	"O"	"M"	17.5032481326256	12.71204739701	34.6011041040625	38.4068578972574	16.0947090194188
216	"O"	"M"	14.6880805856362	11.0806676132698	28.9833779744152	32.1122047812305	13.1111197856627
217	"O"	"M"	14.0834583987109	10.7175780435	28.7055645023845	31.9070232026651	13.2866462067328
218	"O"	"F"	21.2845954595134	18.4167426162027	43.8146502113808	48.3967845504917	19.9848808724526
219	"O"	"F"	16.2009366883431	14.0178833298944	31.5928480466548	35.6104132477101	13.6995030118339
220	"O"	"M"	14.0090424679406	11.5116849289369	29.1994574223831	32.2036319091544	13.0941473050416
221	"O"	"F"	17.5095996481925	14.2913587850425	34.5008299202006	39.602476696074	15.6032839854434
222	"O"	"F"	14.9977242044639	12.3140581760369	30.1124634273257	33.2892181881051	14.0167648039106
223	"O"	"F"	11.3966112662107	9.19930833382532	21.7004312827345	24.1069561384246	9.69362093585543
224	"O"	"M"	18.6191733942926	13.4887862043269	36.8865582922474	40.1960671723727	17.0064558610972
225	"O"	"M"	13.4073987604491	10.090733702695	26.6188691919483	29.6099500172772	11.995359396236
226	"O"	"F"	21.9163471674081	17.1960977807827	42.6194843353797	47.411750635989	19.5077364239376
227	"O"	"M"	15.7162603285536	12.19165470534	31.6856477586366	34.2136958390288	14.187704807613
228	"O"	"F"	12.9078442769684	11.2119080018066	25.7826137576997	29.1120193043631	11.8971393289138
229	"O"	"F"	15.5952264775429	13.9845671212021	31.5806172973756	35.293586957287	13.8094661369175
230	"O"	"M"	14.0909887797013	10.4131101667695	28.900317298742	31.7981075118948	13.5110594352335
231	"O"	"M"	23.0164045956917	16.7888947326504	47.2010466935951	52.0906084737089	21.4890309806354
232	"O"	"F"	21.7071497250814	17.0953687987756	41.6814791724086	47.1825903520826	19.5886386943888
233	"O"	"F"	21.3895522774011	18.0037211505976	41.2070856495202	46.2196068822779	18.6935926747322
234	"O"	"F"	17.1135331718437	14.5033163091168	33.1125457669329	37.2182681387942	14.6012054869253
235	"O"	"F"	12.9006793387886	11.197203593282	25.8023252926487	29.0861179576255	11.9093187399954
236	"O"	"M"	19.4183505474124	14.0939648159966	39.1045214479044	43.2116633521486	17.7802252115868
237	"O"	"M"	11.4033939476497	9.01244410117157	22.7188132467214	24.816469123764	10.109747163821
238	"O"	"F"	17.5179579091072	14.2814389396273	34.5103228216153	39.593171329489	15.6136210089829
239	"O"	"M"	12.5143560960144	9.39298438468948	23.2118437158875	26.0106392108742	10.7917864442803
240	"O"	"M"	9.08510513278656	6.89668786167167	16.6802891072165	18.6040759447776	7.39710966127925
241	"O"	"M"	10.6859955230262	8.59927538143471	20.6930758148152	22.7066301858984	9.20895187182352
242	"O"	"M"	15.1057241591718	11.3979488803539	30.1924415282346	33.3097944087535	13.9980658578966
243	"O"	"F"	17.5180879367888	14.6977489201073	33.2957022893429	37.5830545806419	14.6199022253044
244	"O"	"M"	17.5037592002656	12.7136604313273	34.5867092914693	38.3803659796901	16.0932702938188
245	"O"	"F"	16.1011808964051	13.7083460941445	31.4013049176708	36.0959578497615	13.8952623618301
246	"O"	"F"	16.0800964741502	13.6138193016686	31.6170144947246	35.9827237420995	13.9954991889745
247	"O"	"F"	16.1049346657749	13.6984043760784	31.3926275224239	36.0879944358114	13.9120443910547
248	"O"	"F"	12.9037103159912	11.1821840489469	25.819670182718	29.1045445898268	11.894208558565
249	"O"	"M"	14.0080078731664	11.4896535866614	29.1941314682551	32.2009852807224	13.0978058631625
250	"O"	"M"	14.1139447872154	10.6852239844482	28.6924393839668	31.9034276115615	13.2946705646254
251	"O"	"F"	16.2061683237646	14.0055747336149	31.6034466998093	35.5906166942231	13.7116191477608
252	"O"	"F"	16.0913387534302	13.5808126078825	31.6056955967937	36.0099282560591	14.0135798260756
253	"O"	"F"	11.4031474700477	9.18256307027303	21.7157343475241	24.1045406009722	9.70310885095037
254	"O"	"M"	17.8923707859311	12.8878906960599	36.8863686208893	40.8891432677675	16.5080090389308
255	"O"	"M"	17.899344463395	12.9164570033271	36.8816389426775	40.8950579202548	16.506688068714
256	"O"	"M"	19.3994773890916	14.1175963410828	39.1058289236296	43.1806112449989	17.8168861404993
257	"O"	"F"	20.8954366180208	16.4974284875672	39.8871912118047	44.6869970250782	17.4935237284005
258	"O"	"M"	16.2942748680525	11.6019262402412	31.618891291013	34.2099443913065	14.5046025134716
259	"O"	"F"	20.0060749194957	16.7032287338562	40.408385325633	45.1077313409839	17.7179473704379
260	"O"	"M"	14.0114084445126	11.5109633910935	29.1970650700293	32.2126256515924	13.0884143141564
261	"O"	"F"	15.7087994477153	13.5997622983251	30.9820635871124	34.800172928907	13.7877899392322
262	"O"	"F"	16.6863860074431	14.2984807980061	32.3074645209126	36.9988787460234	14.6831525127962
263	"O"	"F"	20.5029453753214	17.4986994012818	40.0085207220074	45.5161618230771	19.2182164352667
264	"O"	"F"	18.6056516220607	14.4924866074603	34.7038066648878	39.38019035073	14.9894645099528
265	"O"	"F"	17.6098694558628	14.0156574297883	33.9821621362492	38.6014339607023	15.4945188099518
266	"O"	"F"	14.8943420443498	12.9999758769199	30.0171910157241	33.6875025724992	13.3081255238689
267	"O"	"M"	21.5998848822992	14.8126751861628	43.3882581737731	48.2011681551859	20.0809597908705
268	"O"	"M"	15.3845222847443	11.0854344229959	30.2024185568653	33.6067108957097	13.4925668302644
269	"O"	"F"	15.5938338481262	14.0000245292578	31.5841458293237	35.2828680618107	13.8116236194409
270	"O"	"F"	22.4980255358759	17.2149143323954	43.0175853904709	48.6865413525421	19.7876907227561
271	"O"	"F"	14.9109391344432	12.9855566828512	29.9865256135259	33.7133848516364	13.2963684560638
272	"O"	"F"	20.1175413276907	17.2005196706764	39.8074375671521	44.117294058688	18.6186796260066
273	"O"	"M"	14.215000495743	10.6919015990105	27.8158948952332	30.913876280589	12.7112768689264
274	"O"	"M"	18.3950187541638	13.4088440853078	37.9136837789789	42.1919674307667	17.6977509972639
275	"O"	"M"	13.7126529989019	11.0051937863324	27.5080548997782	30.488949514553	12.2191471386142
276	"O"	"M"	21.6117096484359	14.801421480123	43.3839143668581	48.216216703672	20.1054900839645
277	"O"	"M"	15.0889604879823	11.3896357147302	30.2164040475897	33.3070028518792	13.994556781156
278	"O"	"M"	14.1856161027495	11.3079297988396	29.2165950232651	32.1941357802134	13.5043411144335
279	"O"	"M"	18.7826329275593	13.3863820351101	37.190521420408	41.0871595989261	17.4919867881574
280	"O"	"M"	17.4903664741572	11.9884641009104	34.388322104346	37.3137900743261	15.2972064852994
281	"O"	"F"	17.1060349394381	14.4944484304078	33.1171127144434	37.2047607057914	14.584649956543
282	"O"	"F"	21.3858411108423	17.9840340841096	41.1949257432483	46.1891229390539	18.6834415610041
283	"O"	"M"	19.3868867382128	14.39727332904	39.7800626100134	44.3050473283883	17.8941005016863
284	"O"	"F"	13.9956006691698	12.798460298935	28.8039189006854	32.4126933020726	12.691415161239
285	"O"	"M"	16.2889667046256	11.6120011944603	31.6190122739412	34.1853872052021	14.5118379616272
286	"O"	"M"	23.0151312211715	16.7960783924814	47.2028224170767	52.0865222596191	21.4892210933939
287	"O"	"F"	23.0825164286513	20.1847525599226	46.2059959275741	52.4862946754228	21.1185168143921
288	"O"	"M"	13.3844190252479	10.0870542141888	26.6178978174832	29.5812981318962	12.0130909048114
289	"O"	"M"	16.3043309289869	11.5833760691155	31.6056998256408	34.2064992251899	14.4946580283158
290	"O"	"M"	15.6919734139275	12.2120038162731	31.7001524516288	34.1812414168287	14.2171604392864
291	"O"	"M"	10.6958512894437	8.60665877521969	20.6860832890589	22.7013085622154	9.20045178600587
292	"O"	"M"	20.1043578620441	13.6993539607339	40.5907517284527	44.51946450755	18.0037346041016
293	"O"	"F"	21.7010148123745	17.1150449916348	41.7037713486329	47.2080892363936	19.6007221415825
294	"O"	"F"	20.5057545629796	17.5044421700854	40.0058551805187	45.4893101287168	19.2074930652045
295	"O"	"F"	14.9171945544425	13.0134202007484	30.0181024771836	33.6855217786413	13.2894655438606
296	"O"	"F"	22.5185774560645	17.1912158216815	43.0139725463558	48.683295240961	19.8072147187311
297	"O"	"M"	17.3823948135972	12.8067217887565	36.0845738092158	39.4863274703641	16.2035561789758
298	"O"	"F"	15.6997777600586	13.5976012689713	31.0128107652534	34.7857544782665	13.8055871666595
299	"O"	"M"	17.5186842040066	12.0169632709306	34.3889834944624	37.294055429101	15.3149575298559
300	"O"	"F"	14.0041435972694	11.8981487403344	27.0024847666826	31.4126165794022	12.6186588007025
301	"O"	"M"	22.9926799381152	16.7951545401197	47.182408057861	52.083976852037	21.494990261402
302	"O"	"F"	19.0827333546057	16.302653987091	37.9102415121347	42.60808756724	17.1827366520744
303	"O"	"F"	16.7149041274376	14.2852972447686	32.2911102528032	36.9968472767901	14.6878690980747
304	"O"	"F"	15.5974338085949	13.9894646504708	31.5827205707692	35.3141648257058	13.8022298893891
305	"O"	"M"	14.7047276205756	11.1082370578125	28.9968303668685	32.1127487985883	13.1143691781163
306	"O"	"F"	16.7174829175044	14.2882714909595	32.2888733293768	36.9941506503522	14.6970455796551
307	"O"	"F"	18.2984419560619	15.6890394792985	35.1089290998224	40.4891254840884	16.0999332808517
308	"O"	"F"	19.9003128272668	16.6132242942508	39.4170152823254	43.9022787498869	17.8923677844182
309	"O"	"M"	17.910525715407	12.9042767684627	36.9147529063281	40.9088190900814	16.4822883329354
310	"O"	"F"	18.0091960249282	14.8825475847535	34.714417967489	39.5179342094529	15.7159702228289
311	"O"	"F"	17.6138454116229	14.008853129996	34.0164605881926	38.6153322387766	15.4856753632147
312	"O"	"M"	21.4815890515875	15.4830320483074	45.4938394269068	49.7001114080101	20.8834543886781
313	"O"	"F"	18.6042036935128	14.4857034302503	34.695991228288	39.4072764130868	15.0188590808958
314	"O"	"F"	22.5152780748531	17.1802252574638	42.9963452374376	48.6983371584211	19.8108897372428
315	"O"	"M"	14.2083853109647	10.6175543684047	28.7109147037845	31.6839188294671	12.8961773368064
316	"O"	"M"	13.184146579802	11.0073984448425	27.091578410808	30.3951942383032	12.2010914552491
317	"O"	"M"	14.1821133753285	10.6029127732199	28.7085528910812	31.7138446353842	12.8952960645594
318	"O"	"F"	21.4026826437376	17.9905801799521	41.203755313484	46.197598644672	18.6900766934175
319	"O"	"M"	10.6809819707181	8.61492531910539	20.6841610044707	22.6912667714339	9.18196571413428
320	"O"	"M"	17.5113956627902	12.6934225257393	34.5907115809061	38.4035936797783	16.1036973396502
321	"O"	"M"	21.8931784464046	15.6926951704454	45.3895168350916	50.9815746877529	21.0999815159384
322	"O"	"F"	22.4989279443678	17.2030885199178	42.9872652338445	48.6806094646454	19.7870105944015
323	"O"	"F"	18.6197997879982	14.5156885517854	34.7077032422926	39.4166225250065	14.9905684694648
324	"O"	"F"	17.081422558343	14.4920391240995	33.086208463693	37.216978965532	14.6008243825007
325	"O"	"F"	14.2988372788392	12.1817014615424	28.1014339076728	31.7840098707471	12.5097621992882
326	"O"	"M"	14.1092255293671	10.5025484629907	29.1174965204392	31.6060575971007	13.0823714065831
327	"O"	"F"	17.6023052561935	14.015552431643	33.9957441647444	38.5939904762711	15.4948940117657
328	"O"	"F"	18.5838267254643	14.4932641655579	34.7046148629021	39.4090299122781	15.0195773859415
329	"O"	"F"	18.4028550723102	15.6843472572137	36.4881526778732	41.5935891076457	16.4048138414416
330	"O"	"F"	19.0993283090089	16.0076419709437	37.7842192729469	42.2828118258528	16.8034640930593
331	"O"	"F"	19.1028607674502	16.3032830427214	37.9098245021142	42.6117239976395	17.1828290178906
332	"O"	"M"	14.0993727978971	10.5094358548429	29.1090423448663	31.6069398873858	13.1026962819137
333	"O"	"F"	22.5096300416347	17.203062821608	42.982783445185	48.681773577556	19.8010857182276
334	"O"	"F"	18.5139743711334	14.6071222336218	37.0039207668789	42.0084801496379	16.5829830711428
335	"O"	"F"	18.4880777765624	14.5895876649301	36.9836697006412	42.0117126527056	16.5820050393138
336	"O"	"F"	18.7900439981651	15.1909046191629	35.7963093567919	40.4951204590686	16.6026345934067
337	"O"	"M"	14.7129211090039	11.0981306521315	28.9932680310868	32.102601746805	13.1136795136519
338	"O"	"F"	17.996494087847	14.8947812248301	34.7102219980024	39.5173438103963	15.687241648538
339	"O"	"F"	21.9047953662742	17.1831531893648	42.617978709517	47.3974591844901	19.4885426866077
340	"O"	"M"	17.9176738949679	12.911095527932	36.8944415655918	40.8982583867293	16.4815879130177
341	"O"	"M"	14.1805002657417	10.6182551614102	28.700699516423	31.6826598817389	12.8868680686597
342	"O"	"M"	17.4856076577585	12.683071727287	34.59386930448	38.3980360138509	16.0876551674679
343	"O"	"M"	14.1945636575017	10.6944941451307	27.8006444371212	30.8993067794014	12.7142987403367
344	"O"	"F"	20.2999506067298	16.0123783309106	39.3857329606917	44.0999728001561	17.9820429951232
345	"O"	"M"	20.5950130085833	14.4174813936185	42.8077597029787	46.4848611306399	19.6198928772844
346	"O"	"M"	13.6806000170484	11.0090816759225	27.4821745045111	30.5010365930013	12.1917342414986
347	"O"	"F"	17.9923939202633	16.3018381779175	37.9177856214531	43.015342074139	17.2176505475026
348	"O"	"F"	19.7189683467429	16.7056232888531	39.897479987368	43.5835558815207	18.2095302124508
349	"O"	"F"	14.7013630351145	13.1875151520874	29.6062539007515	33.3816065101884	12.8824172437657
350	"O"	"M"	17.5031100832298	12.7058560611121	34.6117271610722	38.4163854732178	16.0832247566991
351	"O"	"F"	17.4974299595039	14.3941594981495	34.4958539986424	38.9825297795609	16.0189119850006
352	"O"	"F"	14.997410124233	12.3046215817053	30.0846068119351	33.314029491432	14.0065843419451
353	"O"	"F"	19.0872426520567	15.986171103064	37.8139666083176	42.3108694196213	16.8072130223736
354	"O"	"M"	14.5886026488896	11.2965749243461	29.9141379016079	33.4955364441499	12.8195887467638
355	"O"	"M"	17.9128907351475	12.8977748321649	36.9147854629718	40.9089675909281	16.4871205201652
356	"O"	"F"	18.494984088745	14.6012799013034	36.9961625066958	42.0167092168704	16.5941033966001
357	"O"	"M"	19.4086946539115	14.0811491664872	39.1018493185006	43.2028971553408	17.8046321060881
358	"O"	"F"	20.6183209368307	17.4829647928569	41.4897000894323	46.1911428965442	19.1896486223862
359	"O"	"M"	17.9801209480129	13.4177401087619	36.7024805171974	41.3054043550231	17.1137773379311
360	"O"	"M"	9.08267359839752	6.91029589103535	16.7092523527145	18.6010736668203	7.39527354095131
361	"O"	"M"	14.2118733110186	11.312912359843	29.1816377013456	32.1995597213786	13.5108139489405
362	"O"	"M"	15.7020230633765	12.1845383151434	31.7154645346757	34.1959472189564	14.1936967470124
363	"O"	"F"	19.7137549823243	16.6980388937052	39.9136074999068	43.6027002941072	18.1966028029192
364	"O"	"M"	18.7825609654188	13.3930392146762	37.190426906012	41.1121118467394	17.5033409659937
