"Class"	"Sex"	"Age"	"Survived"	"Age_Num"
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
"3rd"	"Male"	"Adult"	0	-99
